ef_base_id,native_pes21_id,physical_source_id,canonical_name,status,source_card_id,stats_source_card_id,portrait_asset_id,face_owner_id,commentary_owner_id
182172,182172,629115,Julio Núñez,active,182172,182172,182172,,
182173,182173,629116,Marcos Álvarez,active,182173,182173,182173,,
182174,182174,629121,Alex Herráiz,active,182174,182174,182174,,
182175,539562,539562,Gonzalo Gelini,active,182175,182175,539562,,539562
182176,182176,629122,Marcos López,active,182176,182176,182176,,
182178,182178,629125,Jerome Abbey,active,182178,182178,182178,,
182180,182180,629132,Ignacio Cruzat,active,182180,182180,182180,,
182184,539576,539576,Adrian Przyborek,active,182184,182184,539576,,539576
182185,182185,629136,Bastian Sandoval,active,182185,182185,182185,,
182186,182186,629143,Cristian Michea,active,182186,182186,182186,,
182187,182187,629144,Ángel Carvajal,active,182187,182187,182187,,
182188,182188,629146,Vicente Cisternas,active,182188,182188,182188,,
182189,182189,629148,Matías Moya,active,182189,182189,182189,,
182190,182190,629153,Bruno Torres,active,182190,182190,182190,,
182191,182191,629157,Yastin Cuevas,active,182191,182191,182191,,
182192,182192,629159,Gabriel Maureira,active,182192,182192,182192,,
182193,182193,629164,Vicente Martínez,active,182193,182193,182193,,
182194,182194,629168,Santiago Tapia,active,182194,182194,182194,,
182195,182195,629174,Bouke Boersma,active,182195,182195,182195,,
182199,182199,629181,Lars Van Parys,active,182199,182199,182199,,
182200,182200,629188,Benjamín Villarroel,active,182200,182200,182200,,
182201,182201,629219,Agustín Albarracín,active,182201,182201,182201,,
182202,182202,629222,Viggo Plantinga,active,182202,182202,182202,,
182203,182203,629228,Maximiliano Mateluna,active,182203,182203,182203,,
182204,182204,629249,Gaspar Ruz,active,182204,182204,182204,,
182205,182205,629274,Albert Gómez,active,182205,182205,182205,,
182206,182206,629275,Renato Canto,active,182206,182206,182206,,
182207,182207,629276,Mouhamadou Sall,active,182207,182207,182207,,
182210,539579,539579,Christian Garofalo,active,182210,182210,539579,,539579
182211,182211,629277,Facundo Alaggia,active,182211,182211,182211,,
182213,182213,629278,Ransford Amoo,active,182213,182213,182213,,
182216,182216,629279,Everton,active,182216,182216,182216,,
182220,182220,629297,Mahmut Can Kara,active,182220,182220,182220,,
182223,182223,629301,Yannick Bujard,active,182223,182223,182223,,
182224,182224,629302,Giacomo Koloto,active,182224,182224,182224,,
182225,182225,629303,Stefan Bukinac,active,182225,182225,182225,,
182226,182226,629308,Melker Jonsson,active,182226,182226,182226,,
182227,182227,629311,Afeez Aremu,active,182227,182227,182227,,
182228,182228,629313,Owen Elding,active,182228,182228,182228,,
182229,182229,629316,Arthur Borghi,active,182229,182229,182229,,
182232,182232,629317,P. Mbatshi Mukuba,active,182232,182232,182232,,
182239,182239,629320,António Gil,active,182239,182239,182239,,
182240,182240,629321,Miguel Silva,active,182240,182240,182240,,
182241,182241,629322,Tiernan Brooks,active,182241,182241,182241,,
182242,182242,629325,Ife Ibrahim,active,182242,182242,182242,,
182243,182243,629326,Brando Bailey-Joseph,active,182243,182243,182243,,
182244,182244,629327,Fernando Pradella,active,182244,182244,182244,,
182248,182248,629329,Ville Koski,active,182248,182248,182248,,
182249,182249,629331,Kéfren Ali,active,182249,182249,182249,,
182250,182250,629334,Yanis Sofikitis,active,182250,182250,182250,,
